rank,score,badge_name,level_name,priority,l1_header,l2_category,l3_category,ibm_link,bp_link
107,10,Storage for Data and AI Sales Foundation,L1-Foundation,new_paths,Hybrid Cloud Platform,Storage,,https://yourlearning.ibm.com/activity/PLAN-7A9B0451C7DC,https://learn.ibm.com/course/view.php?id=7313
108,10,Storage for FlashSystem Foundational,L1-Foundation,new_paths,Hybrid Cloud Platform,Storage,,https://yourlearning.ibm.com/activity/PLAN-550C7DDA80AB,https://learn.ibm.com/course/view.php?id=9618
109,10,IBM FlashSystem Sales Foundation,L1-Foundation,new_paths,Hybrid Cloud Platform,Storage,,https://yourlearning.ibm.com/activity/PLAN-BD1A885E914B,https://learn.ibm.com/course/view.php?id=9855
110,10,IBM Software Defined Storage Sales Foundation,L1-Foundation,new_paths,Hybrid Cloud Platform,Storage,,https://yourlearning.ibm.com/activity/PLAN-97743EE61789,https://learn.ibm.com/course/view.php?id=17659
111,10,Technology Lifecycle Services Sales Foundation,L1-Foundation,new_paths,Hybrid Cloud Platform,Technology Lifecycle Services,,https://yourlearning.ibm.com/activity/PLAN-DF1E4DA363CA,https://learn.ibm.com/course/view.php?id=18807
112,10,Expert Care Support Sales Foundation,L1-Foundation,new_paths,Hybrid Cloud Platform,Technology Lifecycle Services,,,https://learn.ibm.com/course/view.php?id=11321
113,10,Project Support Services Sales Foundation,L1-Foundation,new_paths,Hybrid Cloud Platform,Technology Lifecycle Services,,,https://learn.ibm.com/course/view.php?id=11671
114,10,Support Insights Sales Foundation,L1-Foundation,new_paths,Hybrid Cloud Platform,Technology Lifecycle Services,,,https://learn.ibm.com/course/view.php?id=11320
115,10,Logo Support Services Sales Foundation,L1-Foundation,new_paths,Hybrid Cloud Platform,Technology Lifecycle Services,,,https://learn.ibm.com/course/view.php?id=12111
116,10,MVS Support Services Sales Foundation,L1-Foundation,new_paths,Hybrid Cloud Platform,Technology Lifecycle Services,,,https://learn.ibm.com/course/view.php?id=12118
117,10,Application Modernization with watsonx Code Assistant for Z Sales Foundation,L1-Foundation,new_paths,Transaction Processing Platform,Application Development,,https://yourlearning.ibm.com/activity/PLAN-758DDA1EB39F,https://learn.ibm.com/course/view.php?id=15811
118,10,IBM watsonx Assistant for Z Sales Foundation,L1-Foundation,new_paths,Transaction Processing Platform,IT Operations Management,,https://yourlearning.ibm.com/activity/PLAN-1A956137D645,https://learn.ibm.com/course/view.php?id=17044
119,10,IBM Z Sales Foundation,L1-Foundation,new_paths,Transaction Processing Platform,IBM Z,IBM zStack,https://yourlearning.ibm.com/activity/PLAN-A1881A02C9BA,https://learn.ibm.com/course/view.php?id=11322
120,10,Application Modernization on IBM Z Sales Foundation,L1-Foundation,new_paths,Transaction Processing Platform,IBM Z,IBM zStack,https://yourlearning.ibm.com/activity/PLAN-5F912B2BB02B,https://learn.ibm.com/course/view.php?id=9919
121,10,IBM Z Analytics and Machine Learning Sales Foundation V2,L1-Foundation,new_paths,Transaction Processing Platform,IBM Z,IBM zStack,https://yourlearning.ibm.com/activity/PLAN-BA7E46E04ED3,https://learn.ibm.com/course/view.php?id=10633
122,10,IBM z17 and Transaction Processing Sales Foundation,L1-Foundation,new_paths,Transaction Processing Platform,IBM Z,IBM z17,https://yourlearning.ibm.com/activity/PLAN-38208BBBED11,https://learn.ibm.com/course/view.php?id=17967
123,10,IBM z17 and AI Sales Foundation,L1-Foundation,new_paths,Transaction Processing Platform,IBM Z,IBM z17,https://yourlearning.ibm.com/activity/PLAN-A4EF2D6A7334,https://learn.ibm.com/course/view.php?id=17968
124,10,IBM z17 Security and Resiliency Sales Foundation,L1-Foundation,new_paths,Transaction Processing Platform,IBM Z,IBM z17,https://yourlearning.ibm.com/activity/PLAN-F48862280F30,https://learn.ibm.com/course/view.php?id=17969
125,10,IBM z16 Sales Foundation,L1-Foundation,new_paths,Transaction Processing Platform,IBM Z,IBM z16,https://yourlearning.ibm.com/activity/PLAN-3045F22089E9,https://learn.ibm.com/course/view.php?id=11261
126,10,Quantum-Safe with IBM z16 Sales Foundation,L1-Foundation,new_paths,Transaction Processing Platform,IBM Z,IBM z16,https://yourlearning.ibm.com/activity/PLAN-AD3734407565,https://learn.ibm.com/course/view.php?id=11153
127,10,IBM LinuxONE 4 Sales Foundation,L1-Foundation,new_paths,Transaction Processing Platform,IBM Z,IBM LinuxONE,https://yourlearning.ibm.com/activity/PLAN-E326E4A91361,https://learn.ibm.com/course/view.php?id=12217
